park_id,name,state,address_line,suburb,postcode,lga,latitude,longitude,website,phone,email,tourism,category,operator_brand,operator_company,operator_source_url,opening_status,permanent_sites,tourist_sites,land_parcel_ids,land_area_sqm,land_area_source,source_primary,source_secondary,confidence,needs_review,date_collected_utc,notes
osm:node:2924831639,Camp Ridgeway,QLD,,,,,-17.4991805,138.1111068,,,,camp_site,camp,,,,,,,1CP887914,2080000000.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:1811163747,Camooweal Billabong,QLD,,,,,-19.927803,138.1151233,,,,camp_site,camp,,,,,,,21SP135293,54800000.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:way:193282536,Camooweal Roadhouse Caravan Park,QLD,,,,,-19.9203272,138.1181548,,,,caravan_site,holiday,,,,,,,401C3931;301C3931;310C3931;402C3931;302C3931;309C3931;21SP135293;308C3931;307C3931;306C3931;303C3931;304C3931;305C3931;403C3931;404C3931;405C3931,54830347.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:1811192783,Post Office Hotel Motel,QLD,,,,,-19.9223714,138.1191992,,,,caravan_site,holiday,,,,,,,201C3931;202C3931;203C3931;101C3931;102C3931;103C3931;210C3931;208C3931;209C3931;3CP909530;1SP121329;204C3931;205C3931;104C3931;2RP716683;4RP716683;3RP716683;206C3931;207C3931;1RP716683;401C3931;410C3931,53126.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:way:193282538,Camooweal Post Office Hotel Motel & Caravan Park,QLD,,,,,-19.9223182,138.1193664,,,,caravan_site,holiday,,,,,,,201C3931;202C3931;203C3931;102C3931;103C3931;210C3931;208C3931;209C3931;3CP909530;1SP121329;204C3931;205C3931;104C3931;2RP716683;4RP716683;206C3931;207C3931;3RP732385;5RP909531;401C3931;410C3931,52959.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:1811163748,Camooweal Caves National Park Campground,QLD,,,,,-20.04361,138.17194,,,,camp_site,camp,,,,,,,39AP23642,138000000.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:1811181032,Kingfisher Camp,QLD,,,,,-17.8687238,138.2848886,,,,camp_site,camp,,,,,,,11SP320130,2340000000.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:way:1175013459,Hells Gate Roadhouse Camping,QLD,,,,,-17.4547035,138.357384,,,,camp_site,camp,,,,,,,2SP217472,1710000000.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:way:692353158,Boodjamulla (Lawn Hill) National Park -,QLD,,,,,-18.7014219,138.4864242,,,,camp_site,camp,,,,,,,18SP326431;018SP326431,43940000.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:1811158620,Adels Grove,QLD,,,,,-18.689457,138.5281377,,,,camp_site,camp,,,,,,,3GY15;5SP111112,5250299600.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:way:360816057,Adels Grove,QLD,,,,,-18.6902749,138.5300932,https://www.adelsgrove.com.au/,,,caravan_site,holiday,,,,,,,3GY15;5SP111112,5250299600.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:1811187252,Miyumba Bush Camp,QLD,,,,,-19.01833,138.7225,,,,camp_site,camp,,,,,,,13CP899004;13CP899004,1870000.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:1811179208,Inca Creek Rest Area,QLD,,,,,-20.0661125,138.7595392,,,,camp_site,camp,,,,,,,5SP187232;5SP187232,1774000000.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:5757213421,Big Red Bash Campground,QLD,,,,,-25.8756266,139.056335,,,,camp_site,camp,,,,,,,5331SP263966,8710000000.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:1811180413,Kev Kerr Rest Area,QLD,,,,,-22.97361,139.22889,,,,camp_site,camp,,,,,,,3SP263939,12900000000.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:1811177537,Gregory Downs,QLD,,,,,-18.646278,139.2503982,,,,camp_site,camp,,,,,,,3SP194668;5SP287783;5SP287783;24SP265808;3SP194668,3037053100.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:6461388573,Camping Reserve,QLD,,,,,-18.6472166,139.2534758,,,,camp_site,camp,,,,,,,5SP287783;5SP287783,16940000.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:1811205183,World War 2 Rest Area,QLD,,,,,-20.3730298,139.2646249,,,,camp_site,camp,,,,,,,2SP162421;2SP162421,1920000000.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:9892513238,Tirranna Springs Roadhouse,QLD,,,,,-17.895422,139.2967756,,,,camp_site,camp,,,,,,,6SP280656,549700.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:1811160734,Beames Brook,QLD,,,,,-17.8789515,139.3418906,,,,camp_site,camp,,,,,,,118PC41,2250000000.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:way:186485225,Birdsville Caravan Park,QLD,,,,,-25.9000731,139.3546999,http://www.birdsvillecaravanpark.com/,,,camp_site,holiday,,,,,,,510RB17;1SP276160;GSP332292;FSP332292;HSP332292;4SP340136,7062310.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:1811162741,Birdsville Windmill,QLD,,,,,-25.90611,139.37333,,,,camp_site,camp,,,,,,,3SP340136;4SP340136,9920000.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:way:966617451,Bedourie Tourist Park,QLD,,,,,-24.3631963,139.4685726,,,,camp_site,camp,,,,,,,2SP127186;1SP127186;612CP900256;611CP900256;6SP297079;2SP297079,22328952.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:node:8942835007,Bedourie Tourist Park,QLD,,,,,-24.363033,139.4697778,,,,,unknown,,,,,,,2SP127186;1SP127186;511CP900256;612CP900256;512RP904681;510CP900256;6SP297079;6SP297079;2SP297079,44633499.0,qld_dcdb,osm_overpass,osm_overpass,0.6,1,2025-09-12T11:05:04.539964,
osm:node:8942835009,Bedourie Tourist Park,QLD,,,,,-24.3631076,139.4697499,,,,,unknown,,,,,,,2SP127186;1SP127186;511CP900256;612CP900256;512RP904681;6SP297079;6SP297079;2SP297079,44631616.0,qld_dcdb,osm_overpass,,0.6,1,2025-09-12T11:05:04.539964,
osm:node:1811194899,Simpson Desert Oasis Roadhouse,QLD,,,,,-24.3563549,139.4714782,,,,camp_site,camp,,,,,,,2SP223513;29CP863210;1CP863210;2SP197775;310EU8;309EU8;308EU8;307EU8;306EU8;1SP110068;400SP325762;1SP223513;3SP223513,46381.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:way:841525656,Copper City Caravan Park,QLD,,,,,-20.7080894,139.4945119,,,mountisa@discoveryparks.com.au,camp_site,holiday,,,,,,,12MPH21965;11MPH21965;16MPH21965;17MPH21965;15MPH21965;14MPH21965;13MPH21965;2MPH30284;1MPH21930;1MPH30707;0SP206664;0SP206664;6SP206664;7SP206664;8SP206664;9SP206664;10SP206664;23SP206664;102CP891613;8MPH7941;0SP206664;0SP206664;1SP206664;2SP206664;3SP206664;4SP206664;5SP206664;19SP206664;20SP206664;21SP206664;24SP206664;25SP206664;26SP206664;27SP206664;28SP206664,391139.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:way:1269299615,AAOK Moondarra Caravan Park,QLD,,,,,-20.6809966,139.4979416,,,,camp_site,holiday,,,,,,,45USL48255;2MPH7948;3MPH7948;1SP214913;90SP237661,111079280.0,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
osm:way:1416400062,Sunset Tourist Park,QLD,,,,,-20.7087733,139.4999765,,,,caravan_site,holiday,,,,,,,86MPH21970;2SP159003;4AP3553;3SP159003;1MPH8131;5AP3553;16MPH22122;15MPH22122;92MPH21970;91MPH21970;90MPH21970;89MPH21970;16MPH33412;87MPH21970;85MPH21970;1MPH22066;84MPH21970;BMPH8131;AMPH22066;AMPH22066;BMPH22122,70700.52,qld_dcdb,osm_overpass,,0.6,0,2025-09-12T11:05:04.539964,
