lat_e6,lon_e6,address_line,suburb,postcode,lga
-17499180,138111107,,Nicholson,,Burke Shire
-19927803,138115123,Urandangi Road,Camooweal,,Mount Isa City
-19920327,138118155,Kennedy Street,Camooweal,,Mount Isa City
-19922371,138119199,Austral Street,Camooweal,,Mount Isa City
-19922318,138119366,Nowranie Street,Camooweal,,Mount Isa City
-20043610,138171940,Urandangi Road,Camooweal,,Mount Isa City
-17868724,138284889,,Nicholson,,Burke Shire
-17454704,138357384,Westmoreland Road,Nicholson,,Burke Shire
-18701422,138486424,Rainbow Serpent Trail,Lawn Hill,,Burke Shire
-18689457,138528138,Wills Road,Lawn Hill,,Burke Shire
-18690275,138530093,Wills Road,Lawn Hill,,Burke Shire
-19018330,138722500,Riversleigh Road,Riversleigh,,Mount Isa City
-20066112,138759539,Thorntonia-Yelvertoft Road,Barkly,,Mount Isa City
-25875627,139056335,QAA Line,Birdsville,,Diamantina Shire
-22973610,139228890,Donohue Highway,Amaroo,,Boulia Shire
-18646278,139250398,Old Wills Road,Gregory,,Burke Shire
-18647217,139253476,Wills Road,Gregory,,Burke Shire
-20373030,139264625,Barkly Highway,Gunpowder,,Mount Isa City
-17895422,139296776,Doomadgee Road,Gregory,,Burke Shire
-17878952,139341891,Wills Developmental Road,Nicholson,,Burke Shire
-25900073,139354700,Adelaide Street,Birdsville,,Diamantina Shire
-25906110,139373330,Birdsville Developmental Road,Birdsville,,Diamantina Shire
-24363196,139468573,Southern Levee,Bedourie,,Diamantina Shire
-24363033,139469778,Southern Levee,Bedourie,,Diamantina Shire
-24363108,139469750,Southern Levee,Bedourie,,Diamantina Shire
-24356355,139471478,Herbert Street,Bedourie,,Diamantina Shire
-20708089,139494512,185-189 Little West Street,Winston,4825,Mount Isa City
-20680997,139497942,Moondarra Drive,Lanskey,4825,Mount Isa City
-20708773,139499976,14 Sunset Drive,Winston,4825,Mount Isa City
-20709694,139500414,14 Sunset Drive,Winston,4825,Mount Isa City
-20724561,139509872,Abel Smith Parade,Pioneer,4825,Mount Isa City
-21696116,139513252,Lethem Street,Dajarra,,Cloncurry Shire
-20722183,139515826,Caravan Park Road,Fisher,4825,Mount Isa City
-20723314,139516117,Caravan Park Road,Fisher,4825,Mount Isa City
-20723398,139516114,Caravan Park Road,Fisher,4825,Mount Isa City
-20723679,139516728,Caravan Park Road,Fisher,4825,Mount Isa City
-18695997,139521983,Wills Developmental Road,Gregory,,Burke Shire
-17742436,139546350,Sloman Street,Burketown,,Burke Shire
-20588060,139576940,Lakeview Drive,Mount Isa,,Mount Isa City
-24913761,139648941,Eyre Developmental Road,Bedourie,,Diamantina Shire
-22410786,139663324,Diamantina Developmental Road,Georgina,,Boulia Shire
-23416173,139669153,Diamantina Developmental Road,Amaroo,,Boulia Shire
-22598330,139718060,Diamantina Developmental Road,Georgina,,Boulia Shire
-18806110,139785000,Wills Developmental Road,Stokes,,Carpentaria Shire
-21356318,139864049,Duchess Road,Duchess,,Cloncurry Shire
-22909450,139918821,Diamantina Developmental Road,Boulia,,Boulia Shire
-22909289,139919048,Diamantina Developmental Road,Boulia,,Boulia Shire
-22888653,139937893,Racecourse Road,Boulia,,Boulia Shire
-20783631,139978876,Second Avenue,Cloncurry,,Cloncurry Shire
-20800115,139996567,Barkly Highway,Cloncurry,,Cloncurry Shire
-22720000,140031110,Selwyn Road,Wills,,Boulia Shire
-20837671,140046063,Corella Dam Tracks,Cloncurry,,Cloncurry Shire
-20826670,140048890,Clem Walton Park Road,Cloncurry,,Cloncurry Shire
-18152500,140096670,The Great Top Road,Carpentaria,,Carpentaria Shire
-20782217,140112524,Barkly Highway,Cloncurry,,Cloncurry Shire
-19948273,140207606,Burke Developmental Road,Three Rivers,,Cloncurry Shire
-19987379,140216226,Burke Developmental Road,Three Rivers,,Cloncurry Shire
-19986940,140216390,Burke Developmental Road,Three Rivers,,Cloncurry Shire
-20080279,140227258,Burke Developmental Road,Cloncurry,,Cloncurry Shire
-19227650,140347551,Burke Developmental Road,Burke and Wills,,Cloncurry Shire
-18986670,140434720,Burke Developmental Road,Stokes,,Carpentaria Shire
-20716110,140496390,Wal's Camp,Cloncurry,,Cloncurry Shire
-18698228,140512319,Burke Developmental Road,Stokes,,Carpentaria Shire
-20706005,140517272,Railway Street,Cloncurry,,Cloncurry Shire
-20707604,140528013,McIlwraith Street,Cloncurry,,Cloncurry Shire
-22773060,140580830,Kennedy Developmental Road,Min Min,,Boulia Shire
-22772802,140597692,Kennedy Developmental Road,Min Min,,Boulia Shire
-18526584,140653821,Burke Developmental Road,Stokes,,Carpentaria Shire
-25693330,140747780,Birdsville Developement Road,Birdsville,,Diamantina Shire
